"Origin","Destin","Flow"
1,1,3633
1,13,7
1,16,395
1,62,1
1,64,1
1,131,46
1,132,38
1,175,1
1,204,1
1,209,2
1,213,1
1,225,15
1,226,22
1,235,4
1,292,2
1,297,1
1,298,20
1,300,5
1,301,71
1,302,102
1,303,177
1,304,9
1,326,9
1,330,14
1,332,3
1,335,5
1,338,1
1,341,1
1,347,6
1,359,11
1,363,1
1,368,3
1,374,7
1,439,1
1,479,593
1,503,5
1,519,2
1,522,2
1,523,1
1,534,7
1,539,1
1,543,3
1,572,1
1,589,1
1,623,1
1,632,1
1,670,1
1,739,1
1,810,2
1,842,1
1,858,1
1,928,1
1,980,1
2,16,45
2,132,1
2,191,1
2,209,1
2,213,2
2,270,1
2,289,4
2,292,5
2,293,1
2,297,15
2,298,1
2,301,11
2,302,103
2,303,30
2,330,1
2,338,3
2,359,1
2,363,3
2,374,7
2,405,1
2,479,1
2,484,156
2,491,175
2,507,2
2,522,4
2,787,1
2,978,1
2,981,6
2,983,2
3,1,90
3,13,2
3,16,733
3,51,1
3,131,3
3,209,2
3,213,3
3,216,6
3,225,4
3,226,4
3,255,1
3,289,2
3,292,2
3,293,1
3,297,4
3,298,58
3,300,3
3,301,51
3,302,117
3,303,701
3,304,24
3,326,45
3,330,8
3,334,2
3,335,3
3,338,1
3,341,1
3,347,11
3,359,6
3,363,4
3,368,5
3,446,1
3,450,1
3,479,1494
3,491,5
3,503,14
3,519,1
3,522,6
3,534,2
3,543,5
3,568,1
3,664,1
3,744,1
3,771,1
3,775,2
3,810,1
3,908,1
3,980,1
3,981,2
4,1,224
4,13,1
4,16,398
4,104,1
4,105,1
4,131,13
4,132,7
4,133,1
4,169,2
4,175,1
4,216,2
4,225,7
4,255,1
4,293,1
4,297,1
4,298,29
4,300,2
4,301,57
4,302,81
4,303,377
4,304,11
4,326,23
4,330,1
4,332,2
4,335,1
4,341,1
4,347,4
4,359,2
4,363,2
4,368,3
4,479,805
4,491,8
4,503,8
4,519,4
4,522,1
4,539,2
4,550,1
4,621,1
4,625,1
4,647,1
4,664,1
4,684,1
4,744,2
4,804,1
4,836,2
4,936,1
5,1,12
5,13,4
5,16,533
5,22,1
5,34,2
5,51,1
5,131,2
5,132,1
5,133,2
5,213,2
5,216,4
5,225,2
5,244,1
5,270,1
5,279,2
5,289,2
5,292,1
5,293,1
5,297,5
5,298,61
5,300,5
5,301,54
5,302,287
5,303,468
5,304,34
5,326,21
5,330,5
5,332,1
5,334,2
5,335,2
5,341,2
5,347,4
5,359,1
5,363,3
5,368,17
5,374,29
5,405,1
5,479,1445
5,491,5
5,503,140
5,519,4
5,523,1
5,534,2
5,543,1
5,544,1
5,568,1
5,659,1
5,664,1
5,720,2
5,730,2
5,739,1
5,980,1
5,981,7
5,983,1
6,16,3
6,105,5
6,204,4
6,213,2
6,216,6
6,302,1
6,303,1
6,374,1
6,484,2
6,491,1
6,525,1
6,544,109
6,550,1
6,766,7
6,971,7
6,980,9
7,13,8
7,16,279
7,22,1
7,33,1
7,51,2
7,64,2
7,213,2
7,216,2
7,225,2
7,289,4
7,297,7
7,298,24
7,300,3
7,301,21
7,302,526
7,303,191
7,304,7
7,326,12
7,332,1
7,334,1
7,335,1
7,347,2
7,368,3
7,374,11
7,470,1
7,479,266
7,484,7
7,491,37
7,503,69
7,522,1
7,543,1
7,670,1
7,980,1
7,981,1
7,983,1
8,1,32
8,13,2
8,16,555
8,20,1
8,22,1
8,44,1
8,62,1
8,64,3
8,131,3
8,133,3
8,191,1
8,213,1
8,216,8
8,289,2
8,297,3
8,298,65
8,300,11
8,301,67
8,302,151
8,303,414
8,304,35
8,326,19
8,330,3
8,332,1
8,338,1
8,341,1
8,347,13
8,359,4
8,363,7
8,368,9
8,374,25
8,386,1
8,405,1
8,406,2
8,479,2326
8,484,1
8,491,1
8,503,97
8,507,2
8,519,1
8,522,4
8,534,1
8,543,1
8,623,2
8,638,1
8,641,2
8,647,1
8,651,1
8,664,1
8,720,3
8,730,1
8,744,1
8,806,1
8,842,1
8,846,1
8,946,1
8,978,1
8,981,5
8,983,4
9,1,22
9,13,2
9,16,308
9,34,1
9,62,1
9,131,1
9,132,1
9,213,4
9,216,4
9,225,3
9,255,1
9,270,1
9,293,1
9,297,3
9,298,40
9,300,4
9,301,77
9,302,73
9,303,307
9,304,22
9,326,16
9,330,2
9,332,1
9,334,2
9,347,5
9,359,3
9,363,5
9,368,5
9,384,1
9,479,850
9,503,25
9,519,1
9,522,4
9,523,2
9,539,1
9,543,2
9,568,2
9,592,1
9,739,3
9,810,1
9,813,1
9,823,1
9,858,3
9,981,2
10,1,1
10,16,26
10,20,2
10,22,1
10,62,1
10,204,5
10,209,2
10,213,13
10,216,30
10,244,2
10,289,2
10,292,3
10,297,1
10,301,13
10,302,21
10,303,21
10,326,1
10,330,1
10,334,1
10,338,67
10,347,2
10,359,1
10,374,11
10,408,1
10,446,3
10,479,2
10,484,169
10,491,107
10,507,4
10,519,1
10,522,1
10,525,77
10,543,2
10,544,362
10,550,6
10,658,1
10,670,2
10,766,20
10,775,1
10,804,1
10,892,1
10,971,37
10,978,5
10,980,10
10,981,21
10,983,23
11,1,532
11,16,486
11,131,42
11,132,10
11,213,4
11,216,1
11,225,4
11,226,3
11,289,1
